-159.586195,21.902605,"WiFi: McDonalds; ID# 32E46"
-159.459214,21.879285,"WiFi: Starbucks; ID# 2F249"
-159.38147,21.97174,"WiFi: McDonalds; ID# 32E78"
-159.380923,21.97116,"WiFi: Starbucks; ID# 2F24A"
-159.375636,21.971295,"WiFi: Starbucks; ID# 2F24B"
-159.3685,21.97827,"WiFi: McDonalds; ID# 32E79"
-159.36705,21.98269,"WiFi: McDonalds; ID# 32E7A"
-159.34927,21.979465,"WiFi: Starbucks; ID# 2F24C"
-159.32167,22.06085,"WiFi: McDonalds; ID# 32E71"
-159.315957,22.078248,"WiFi: Starbucks; ID# 2F24D"
-158.18898,21.44763,"WiFi: McDonalds; ID# 32E7E"
-158.18458,21.434788,"WiFi: Starbucks; ID# 2F24E"
-158.15147,21.38725,"WiFi: McDonalds; ID# 32E7F"
-158.116013,21.343991,"WiFi: Starbucks; ID# 2F24F"
-158.10513,21.58144,"WiFi: McDonalds; ID# 32E48"
-158.08179,21.3341,"WiFi: Starbucks; ID# 2F250"
-158.07808,21.3389,"WiFi: McDonalds; ID# 32E72"
-158.061706,21.648414,"WiFi: Starbucks; ID# 2F251"
-158.058557,21.483994,"WiFi: Starbucks; ID# 2F252"
-158.0557,21.3348,"WiFi: Starbucks; ID# 2F253"
-158.033009,21.387129,"WiFi: Starbucks; ID# 2F254"
-158.02888,21.49424,"WiFi: McDonalds; ID# 32E7D"
-158.024426,21.333873,"WiFi: Starbucks; ID# 2F255"
-158.02382,21.37844,"WiFi: McDonalds; ID# 32E86"
-158.02077,21.37939,"WiFi: McDonalds; ID# 32E83"
-158.016089,21.457692,"WiFi: Starbucks; ID# 2F256"
-158.01535,21.4568,"WiFi: McDonalds; ID# 32E67"
-158.01416,21.394206,"WiFi: Starbucks; ID# 2F257"
-158.01347,21.31731,"WiFi: McDonalds; ID# 32E47"
-158.00786,21.40053,"WiFi: McDonalds; ID# 32E84"
-158.006444,21.454077,"WiFi: Starbucks; ID# 2F258"
-158.00447,21.42039,"WiFi: McDonalds; ID# 32E85"
-158.001421,21.426618,"WiFi: Starbucks; ID# 2F259"
-158.00119,21.46762,"WiFi: McDonalds; ID# 32E66"
-157.973787,21.399388,"WiFi: Starbucks; ID# 2F25A"
-157.96941,21.39535,"WiFi: McDonalds; ID# 32E7B"
-157.952167,21.389718,"WiFi: Starbucks; ID# 2F25B"
-157.947709,21.390634,"WiFi: Starbucks; ID# 2F25C"
-157.946269,21.3891,"WiFi: Starbucks; ID# 2F25D"
-157.945059,21.349652,"WiFi: McDonalds; ID# 32E63"
-157.944828,21.349864,"WiFi: McDonalds; ID# 32E57"
-157.94359,21.38198,"WiFi: McDonalds; ID# 32E45"
-157.94173,21.38618,"WiFi: McDonalds; ID# 32E43"
-157.941572,21.387332,"WiFi: Starbucks; ID# 2F25E"
-157.93257,21.34888,"WiFi: McDonalds; ID# 32E5E"
-157.930782,21.365403,"WiFi: Starbucks; ID# 2F25F"
-157.93034,21.37902,"WiFi: McDonalds; ID# 32E44"
-157.929876,21.378766,"WiFi: Starbucks; ID# 2F260"
-157.92973,21.34072,"WiFi: McDonalds; ID# 32E65"
-157.929461,21.341317,"WiFi: Starbucks; ID# 2F261"
-157.92911,21.36511,"WiFi: McDonalds; ID# 32E5C"
-157.92805,21.34409,"WiFi: McDonalds; ID# 32E5B"
-157.927421,21.365684,"WiFi: Starbucks; ID# 2F262"
-157.920154,21.332757,"WiFi: Starbucks; ID# 2F263"
-157.91937,21.64141,"WiFi: McDonalds; ID# 32E77"
-157.915871,21.335372,"WiFi: Starbucks; ID# 2F26A"
-157.9131,21.34492,"WiFi: McDonalds; ID# 32E62"
-157.88589,21.32733,"WiFi: McDonalds; ID# 32E50"
